,Momentum Punch,Benchmark,100% BOVA11,60% BOVA11 / 40% CDI,Pesos iguais entre ETFs,ESG estática (ISUS11/GOVE11/REVE11),40% BOVA11 / 40% IVVB11 / 20% CDI
2025-02-10,1.0380440952723227,1.319809764212543,1.2209773397751515,1.319809764212543,1.147210276597101,1.1174585463279043,1.3671285654029723
2025-02-11,1.0425179714537045,1.3258841658945633,1.2299440645909747,1.3258841658945633,1.1564119381047093,1.1266737493593058,1.3704421700534837
2025-02-12,1.0274942516299022,1.3119671214933848,1.2080252856885887,1.3119671214933848,1.1398152269750503,1.1118066683487096,1.3577982783594267
2025-02-13,1.035594991577648,1.3150161128291862,1.2123094196391548,1.3150161128291862,1.1467405622983735,1.1194992464739348,1.36599291554684
2025-02-14,1.0474773918800995,1.335958984534206,1.2440917174587596,1.335958984534206,1.169897487461723,1.1398586243371045,1.3731272755748227
2025-02-17,1.0490521933306447,1.3386603386192943,1.2478776662473872,1.3386603386192943,1.174255695229362,1.1443641125136204,1.3785091328109218
2025-02-18,1.0491805073273368,1.3392435709443908,1.2483758514093255,1.3392435709443908,1.1729724730368642,1.142544416847393,1.3763834228430614
2025-02-19,1.0442043451902059,1.3312335136111555,1.2355234495576273,1.3312335136111555,1.16370970691939,1.134435387558319,1.375530260653049
2025-02-20,1.0361254914738731,1.3344574556598545,1.2401064642004032,1.3344574556598545,1.1575950670920199,1.1250849473823967,1.3744975734818479
2025-02-21,1.0339816862582287,1.3313098994427661,1.2348260359383436,1.3313098994427661,1.1537688330050706,1.1217234646954517,1.3651655120914787
2025-02-24,1.0329159597584494,1.3222258400085016,1.220379502378349,1.3222258400085016,1.1460698315685331,1.116117683727001,1.3616032523013037
2025-02-25,1.021926644780736,1.324687308245155,1.2237669942522864,1.324687308245155,1.1383100588532744,1.1050090237824053,1.3572712471588722
2025-02-26,1.0185496636245768,1.3184115882222995,1.2137042468777224,1.3184115882222995,1.1354332390972335,1.104314221360374,1.3584401193284377
2025-02-27,1.0144667279183677,1.3182156439522144,1.2130068332584387,1.3182156439522144,1.1315336730092926,1.0994688201591476,1.3535138707559853
2025-02-28,1.0067567669477817,1.3071705917153411,1.1956710689988288,1.3071705917153411,1.1233970815216954,1.094165168733669,1.3588971868670663
2025-03-05,0.9975569002223896,1.3076884089251466,1.1960696019259025,1.3076884089251466,1.1131881426034045,1.0807858793188512,1.3369958729827052
2025-03-06,0.9998494995113237,1.3102324009502717,1.1995566700223208,1.3102324009502717,1.1097535159711116,1.0752893537680575,1.3302379007572653
2025-03-07,1.0154206864551765,1.3206099362855215,1.2149994218814255,1.3206099362855215,1.1266975730583666,1.0925654941092209,1.3418115922621154
2025-03-10,1.0084379667835115,1.316645658025232,1.2085234708505272,1.316645658025232,1.1096583509887452,1.0724759035721596,1.330541386351687
2025-03-11,1.0017819815179225,1.3120194098218922,1.2010511494957525,1.3120194098218922,1.1029094339715453,1.0659892502599715,1.3202212923981058
2025-03-12,1.0026645589804075,1.3135174576473843,1.2029440858838745,1.3135174576473843,1.1089056643721436,1.073156566984112,1.3226524257635643
2025-03-13,1.018683283858621,1.3253285131962986,1.220578806848078,1.3253285131962986,1.1157592545317045,1.0767560630782724,1.3229656119758701
2025-03-14,1.0443496496515075,1.3466188948093638,1.2528592138172376,1.3466188948093638,1.137771769003797,1.0955878526546607,1.3418102726779915
2025-03-17,1.0629494785623936,1.3597977360895046,1.2728850563315015,1.3597977360895046,1.1518183212990751,1.1077848710919787,1.3491865399673018
2025-03-18,1.0668903327830996,1.3632574217639857,1.2778665278889676,1.3632574217639857,1.151288893628447,1.1056608381026651,1.3452286035601768
2025-03-19,1.0748832587994561,1.3720704987279573,1.2912171909149883,1.3720704987279573,1.159975080635556,1.1129329098981071,1.353921848982987
2025-03-20,1.0699996151671014,1.3675946702176602,1.2837448695602134,1.3675946702176602,1.155775109714774,1.1097069133333197,1.3513827346554703
2025-03-21,1.0719376878592863,1.3687098489226461,1.2850399685515328,1.3687098489226461,1.1593068289824218,1.1138550034054113,1.3572618578297704
2025-03-24,1.064649584703171,1.363967497514958,1.2771691902820677,1.363967497514958,1.1621100115518441,1.1197201387787004,1.366579568327623
2025-03-25,1.071348432369741,1.369680544302155,1.285637729935952,1.369680544302155,1.1654673564143043,1.1215584655277664,1.366885199818872
2025-03-26,1.0742300249841064,1.3712421513478281,1.2876304705837058,1.3712421513478281,1.1656382585344152,1.121198277552209,1.3646134290692438
2025-03-27,1.0788957648985844,1.3749678937652898,1.293010475068246,1.3749678937652898,1.1681287322440765,1.1228307720128317,1.3665905685255026
2025-03-28,1.0695227717665958,1.3683279587764283,1.2821507378519175,1.3683279587764283,1.1565841715653218,1.1111784051606068,1.3527376172145875
2025-03-31,1.0549308113955667,1.3597477720218665,1.2683020416887254,1.3597477720218665,1.1343756362654167,1.0867301897062445,1.3453060830511232
2025-04-01,1.0576634622571084,1.3647759859269148,1.2756746347962522,1.3647759859269148,1.1469061288240154,1.1006300734034054,1.3482754508162977
2025-04-02,1.0600874424377937,1.3705627967405234,1.2842429026973847,1.3705627967405234,1.1590731879187812,1.113734069223206,1.3591249492916473
2025-04-03,1.0615948303767726,1.3657471375907064,1.2762725482054387,1.3657471375907064,1.1462771629113835,1.099644130625057,1.3209136720052908
2025-04-04,1.0527150619150498,1.3406381983158284,1.2367189723264658,1.3406381983158284,1.120478950892267,1.0780057505277347,1.2921463586288418
2025-04-07,1.0494578499259326,1.331847706504275,1.2227706999407932,1.331847706504275,1.1056695271728334,1.0630610904343656,1.2904563989058704
2025-04-08,1.0467792534225882,1.3211237668875546,1.205933044830738,1.3211237668875546,1.0940581716729672,1.0530553751411162,1.2835612727924022
2025-04-09,1.0561684719532587,1.3443878862398788,1.2409035300545512,1.3443878862398788,1.135562813465466,1.0961418214680454,1.3319021068053853
2025-04-10,1.0538524070864081,1.3372873089699209,1.2295456076762843,1.3372873089699209,1.1193063656651883,1.0785633219414055,1.3142992481069
2025-04-11,1.0575066285245145,1.3460854904030646,1.2425972379853283,1.3460854904030646,1.1313327899912518,1.0901985501009177,1.3260692969724115
2025-04-14,1.0607860505142863,1.3573123109418679,1.2594348930953836,1.3573123109418679,1.1430901059299938,1.1003807920940123,1.3378477972505916
2025-04-15,1.0615886408688815,1.3562445616346774,1.2573425762251493,1.3562445616346774,1.144083958698346,1.1022657773325895,1.339062006776826
2025-04-16,1.0557340565169222,1.3505973262215323,1.2481765469395976,1.3505973262215323,1.1345168496604257,1.092654396783715,1.321220416678309
2025-04-17,1.0605435970813653,1.358966591711822,1.260630415864222,1.358966591711822,1.1384243138943066,1.0940380663465727,1.3225893105183035
2025-04-22,1.0747776579009485,1.3644074933909547,1.2686009223809351,1.3644074933909547,1.145805032849182,1.1011895992900664,1.3191476058324163
