,ISUS11,GOVE11,REVE11,BOVA11
2025-04-25,0.030366437577383235,-0.03555317891768794,-0.00897804314794512,-0.06303329338656607
2025-04-28,0.024290059678457498,-0.02843892489755576,-0.007181520825537208,-0.050420219829465686
2025-04-29,0.015332856698673417,-0.09242001156571218,-0.021244686835323642,-0.06051330051043408
2025-04-30,0.01977596082985519,-0.074198753700057,-0.017489825257654246,-0.04981796436423152
2025-05-01,0.01643852807041324,-0.061676815907052776,-0.014538205547541885,-0.04141057987816933
2025-05-02,0.013769263399695067,-0.05396543321083428,-0.012177512529440238,-0.03468638916052855
2025-05-05,0.011049710012790695,-0.054072265892630735,-0.008984150534777932,-0.02783551526969372
2025-05-06,0.02012504775501124,-0.044073049232951404,-0.007322772632124484,-0.02268808259934556
2025-05-07,0.025016635618357454,-0.1467890586498142,-0.006039793727655162,-0.018713040245835682
2025-05-08,0.020441526389395576,0.012818981963292403,-0.005027896717406222,-0.018853928935759406
2025-05-09,0.024794879591538144,0.010750112001179235,-0.004216438793443477,-0.015811072072811565
2025-05-10,0.020917069803494233,0.00906884190721323,-0.003557006366536948,-0.013338290149549443
2025-05-12,0.004106502009383968,0.004174827153275186,-0.0029485319356584777,-0.011056593781504807
2025-05-13,-0.026343215197857355,0.0034891979618189915,-0.0024642964229517235,-0.009240776461085783
2025-05-14,-0.022162297811762204,0.0029354292470843025,-0.0020731892751784725,-0.007774177844440282
2025-05-15,-0.03832464824601136,0.011273223523837663,-0.001753508399539539,-0.00657541803488574
2025-05-16,-0.030756444953793247,0.009576900100734769,0.0022194047061568334,-0.005585990689132836
2025-05-18,-0.02566135237806731,0.007990397087300352,0.0018517395726259753,-0.004660619121286379
2025-05-19,-0.0022715199365349456,0.006712968693573693,0.001555701130228754,-0.003915523835929527
2025-05-20,0.0065602311187136116,0.0002839148261462101,0.00131433314653218,-0.003308027913332095
2025-05-21,0.00556791103375444,-0.00550199579718307,0.0011155232027923907,-0.0028076457651115758
2025-05-22,0.012834047519343068,-0.004687514262009652,0.0009503880256268451,-0.0023920191966285516
2025-05-23,0.04068115475258446,0.014848252986793375,0.0008122653683506638,-0.00204438008630195
2025-05-25,0.03413513144955497,0.012459013776354007,0.0006815633747173713,-0.0017154179472827324
2025-05-26,0.02468133053578283,0.006620521600490477,0.0005752378099472333,-0.0014478085233794874
2025-05-27,0.04701253246405222,-0.0189858155613835,0.00048782048946365404,-0.0012277890123206922
2025-05-28,0.040025499040588906,-0.016164131194549406,0.00041532028822180417,-0.0010453142036597196
2025-05-29,0.03684937710190119,-0.02839266189064645,0.0003547562018537546,-0.006928450582370705
2025-05-30,0.03616710036707768,0.00042380690430071,0.0003038573718257787,0.005823707204223884
2025-05-31,0.031049782801749273,0.0003638420607364285,0.0002608643021459651,0.0049997053110936145
2025-06-01,0.02670879151047728,0.0003129742261000358,0.0002243935264548842,0.004300709206903122
2025-06-02,0.02301298444744287,-0.04836357198978171,0.00019334325674703025,0.0037056021068048424
2025-06-03,0.01985675022079517,-0.04173050092567421,0.00016682620043779005,0.043627165292685025
2025-06-04,0.017154205503048144,-0.03605089355832616,0.00014412080999062643,0.08637670097034071
2025-06-05,0.015794694645755558,-0.031176718561092002,0.047131530449088264,0.07469834532758661
2025-06-06,0.01460856114079774,-0.02698565667437761,0.04079567568167191,0.06465670520149013
2025-06-09,-0.014106282236666398,-0.02241786823606744,0.033890303025362806,0.0407942229540993
2025-06-10,-0.011809983972402543,-0.018768564255379275,0.028373452964739913,0.034153514807908944
2025-06-11,0.01887354842707004,-0.10203979578376023,0.023903671072262267,0.027696598190231684
2025-06-12,0.015981544445639897,-0.0748734445880812,0.020240898691175326,0.02345263354586536
2025-06-13,0.013589567633602143,-0.14559120271857226,0.017211419250763325,0.019942449920387698
2025-06-14,0.011595915979486759,-0.1242323081642801,0.014686425418427376,0.017016801412440608
2025-06-16,0.016169153634168234,-0.10408396013648337,0.012304539297278774,0.00334072350633976
2025-06-17,0.00965802154689501,-0.08773837489137964,0.01037220605667506,0.002816088579098383
2025-06-18,0.008926901232179882,-0.10563449600438538,0.008787069358188198,-0.0822634254243348
2025-06-20,0.007428842805826106,-0.08790755551998157,0.007312476668897911,-0.06845847626757606
2025-06-23,-0.03276818303154121,-0.07114913837224487,0.005829655137559021,-0.05564393679439608
2025-06-24,-0.026577431234126415,-0.057707237860443066,0.004728283481205255,-0.05348699749414368
2025-06-25,-0.03619939384962032,-0.047416889211250375,0.0038851364629492843,-0.043949201667833296
2025-06-26,-0.019822988869500357,-0.14499320817314612,0.0032246191191480458,-0.03647733800881897
2025-06-27,0.001315289257606257,-0.12130361097469364,0.0026977673513064546,-0.030517517854561797
2025-06-30,-0.019209188102472588,-0.09722613153576523,0.15515761140604176,-0.024460114428841575
2025-07-01,-0.009057440623730543,-0.07917408841061498,0.1263493903233502,-0.027777698621243085
2025-07-02,-0.007465254081270345,-0.06525625849421923,0.10413872317375635,-0.022894721214868182
2025-07-03,0.003890255044930298,-0.05429302861119994,0.08664313289287719,-0.019048345440681347
2025-07-04,-0.008210173709182695,-0.045510256172638,0.07262720968823129,-0.015966968556465462
2025-07-07,-0.011247645961550975,-0.1678215928823195,0.05832613279899352,-0.012822901119560257
2025-07-08,-0.009172833326701222,-0.1335930868517782,0.047566921699448116,-0.010457506854018849
2025-07-09,-0.007568992329924059,-0.11023475666657816,0.0392499953589256,-0.008629044739948659
