,ISUS11,GOVE11,REVE11,BOVA11
2023-11-09,-7.128484942417248e-05,-0.13843145347858218,-1.4658204512244125e-09,-0.09017058343365322
2023-11-10,-6.0589686631953334e-05,-0.25269275371664235,-1.245897305189217e-09,-0.07664191532700111
2023-11-13,-4.936388229462805e-05,-0.20587489463256903,-1.0150626508129217e-09,-0.062442021032696714
2023-11-14,-4.0701535694589926e-05,-0.18378643815658294,-8.369400216077251e-10,-0.05148472992330292
2023-11-16,-3.304912581921247e-05,-0.14923223448075398,-6.795845809062363e-10,-0.041804941458992155
2023-11-17,-2.717922797284858e-05,-0.12272690491232661,-5.588826873159181e-10,-0.1542675321728874
2023-11-18,-2.2573700963777144e-05,-0.10193080003848302,-4.6417987552497225e-10,-0.12812686008482124
2023-11-20,-1.8448731595094347e-05,-0.0833046372945552,-3.7935870370330386e-10,-0.10471380194236239
2023-11-21,-1.5248075617866615e-05,-0.06885218109650931,-3.135440596849472e-10,-0.08654708655829867
2023-11-22,-1.2714286451429912e-05,-0.0574109399248393,-2.614421052127765e-10,-0.0721654638667686
2023-11-23,-1.0676375208921883e-05,-0.048208819116665684,-2.195368195710358e-10,-0.06059841205487908
2023-11-24,-9.0163004451477e-06,-0.1728797190386565,-1.8540093292810794e-10,-0.19111737242779625
2023-11-25,-7.649933149538969e-06,-0.1466808145538829,-1.5730451213229842e-10,-0.16215465885179176
2023-11-26,-6.515691487811103e-06,-0.12493271720570938,-1.3398125848412997e-10,-0.13811228277899484
2023-11-27,-5.567466180644046e-06,-0.25228081902601374,-1.1448303328141664e-10,-0.11801287168707228
2023-11-28,-4.770057997759658e-06,-0.2161475435019499,-9.808603964409436e-11,-0.10111031197398018
2023-11-29,-4.096144215498612e-06,-0.18561021908445915,-8.422844420298981e-11,-0.15746544612304053
2023-11-30,-3.524207305168445e-06,-0.15969381340049846,-7.246778500620152e-11,-0.1634044658564312
2023-12-01,-3.037087111087806e-06,-0.13762074146087544,-6.245120015744853e-11,-0.14081850304859822
2023-12-04,-2.5110182924346597e-06,-0.11378277493756364,-5.1633720154863807e-11,-0.11642663648908193
2023-12-05,-2.0943098921376576e-06,-0.09490030073638467,-4.306500323554003e-11,-0.09710540828875477
2023-12-06,-1.7589949085436115e-06,-0.07970603893971678,-3.616996783146073e-11,-0.0815580919582178
2023-12-07,-1.4857437949114823e-06,-0.06732410207469403,-3.0551143159496146e-11,-0.06888844786484942
2023-12-08,-1.2607667956889938e-06,-0.05712962943951431,-2.5924972392786268e-11,-0.05845709601616004
2023-12-10,-1.0508098170843834e-06,-0.04761576499849655,-2.160765622249267e-11,-0.048722167003498934
2023-12-11,-8.820742305052763e-07,-0.03996978196064581,-1.8137969807287425e-11,-0.07301386419938742
2023-12-12,-7.447094415713218e-07,-0.033745316407882496,-1.5313356744006722e-11,-0.1247138276447854
2023-12-13,-6.317060840108435e-07,-0.02862475012637361,-1.2989684408198923e-11,-0.24235694542437974
2023-12-14,-5.379402672371186e-07,-0.024375902215171392,-1.1061590949870313e-11,-0.20638325843023653
2023-12-15,-4.595798931923323e-07,-0.020825127284210498,-9.450277469260042e-12,-0.1763199404149548
2023-12-17,-3.854859085068628e-07,-0.017467676958542098,-7.926693160083669e-12,-0.14789344230577572
2023-12-18,-3.252511970688213e-07,-0.01473823741776579,-6.6880951604708324e-12,-0.12478411814040628
2023-12-19,-2.7575539713312976e-07,-0.1646725636386725,-5.670319905539223e-12,-0.18188340136698536
2023-12-20,-2.347242705745776e-07,-0.19574511945923162,-4.826602552803844e-12,-0.20243451187022607
2023-12-21,-2.0046123611113294e-07,-0.16717192693139787,-4.122056537160673e-12,-0.19624028602775162
2023-12-22,-1.7167522723292412e-07,-0.14316622554897865,-3.530133837405376e-12,-0.19678017674120937
2023-12-23,-1.4736680756565904e-07,-0.12289454891329761,-3.0302831822794884e-12,-0.16891701211621715
2023-12-25,-1.241677697216777e-07,-0.1035480261911552,-2.553244591398973e-12,-0.1438996975727508
2023-12-26,-1.0515274436740229e-07,-0.08769070389388404,-2.1622412678316498e-12,-0.1218629290622771
2023-12-27,-8.942233473340293e-08,-0.07457254229341363,-1.8387790408098883e-12,-0.13355190723251573
2023-12-28,-7.63093083042745e-08,-0.0636371118900789,-1.5691377008543493e-12,-0.18728840986007203
2023-12-29,-6.530832563542254e-08,-0.05446299171319169,-1.3429260232001571e-12,-0.2323698666302127
2023-12-30,-5.602979884694728e-08,-0.17459067383801327,-1.152132966419586e-12,-0.1993564642594523
2023-12-31,-4.816872888362228e-08,-0.15009532439487575,-9.904868773301373e-13,-0.17138643499938763
2024-01-02,-4.064428972443029e-08,-0.12664892747588985,-8.357628806796317e-13,-0.14461415279988424
2024-01-03,-3.4460719600919954e-08,-0.10738072204225395,-7.086109876499168e-13,-0.12261274102093461
2024-01-04,-2.9334226353461918e-08,-0.24016978605469239,-6.03195619505228e-13,-0.10437245480011634
2024-01-05,-2.5053053923999363e-08,-0.20511829861957467,-5.151624658545402e-13,-0.20326854733714564
2024-01-08,-2.05149319954603e-08,-0.16796307388194645,-4.2184569536632435e-13,-0.16644838741367537
2024-01-09,-1.6981494623787865e-08,-0.13903356037213907,-3.491881137854368e-13,-0.13777975947612045
2024-01-10,-1.4176660110808131e-08,-0.11606937864175368,-2.915126915233874e-13,-0.11502266811695784
2024-01-11,-1.191585756672906e-08,-0.09755938090802121,-2.4502412302586396e-13,-0.0966795930433496
2024-01-12,-1.0070983989832204e-08,-0.08245474215183388,-2.0708824407285406e-13,-0.0817111675119107
2024-01-14,-8.362570154609699e-09,-0.06846734802886453,-1.7195836782211307e-13,-0.06784991133173303
2024-01-15,-6.99877483680171e-09,-0.05730146876708947,-1.4391483424835531e-13,-0.056784725667861795
2024-01-16,-5.89453165924879e-09,-0.04826063556052564,-1.212084352609538e-13,-0.04782542245121409
2024-01-17,-4.990131390185737e-09,-0.040855987607263854,-1.0261137822577475e-13,-0.04048754941340187
2024-01-18,-4.242424328989474e-09,-0.03473424290006464,-8.723638184604285e-14,-0.03442101043479466
2024-01-19,-3.6194525320472483e-09,-0.09571325745581542,-7.442629936890591e-14,-0.029366513981763327
2024-01-20,-3.0970466818031543e-09,-0.08189869152405688,-6.368414047662092e-14,-0.02512796172295783
2024-01-21,-2.65659654512799e-09,-0.07025137277770654,-5.462722553188491e-14,-0.021554359090400377
2024-01-22,-2.2835481543421666e-09,-0.060386434267084566,-4.695628332007755e-14,-0.01852762212206398
2024-01-23,-1.966365258981426e-09,-0.05199880993565785,-4.043409552626159e-14,-0.01595415117613647
2024-01-24,-1.6957956032718516e-09,-0.16868282323838968,-3.487040930087757e-14,-0.013758877855908165
2024-01-25,-1.4643422447629978e-09,-0.14565987997450044,-3.011106605827532e-14,-0.01188097554096005
2024-01-26,-1.2658758044832404e-09,-0.12591818504389038,-2.6030028230549644e-14,-0.010270713369600757
2024-01-28,-1.0738348029320665e-09,-0.10681563621272269,-2.2081115806363823e-14,-0.008712584147794245
2024-01-29,-9.144744014050182e-10,-0.09096386587547141,-1.880421001837922e-14,-0.007419609749553845
2024-01-30,-7.812879454233356e-10,-0.07771564930458306,-1.606551543487282e-14,-0.006338998279411064
2024-01-31,-6.693123572715373e-10,-0.06657730320509946,-1.3762976978571758e-14,-0.005430481688583999
2024-02-01,-5.746978372446586e-10,-0.057165883381456624,-1.1817431753205089e-14,-0.004662824535838974
2024-02-02,-4.944143841591445e-10,-0.04917999198059282,-1.0166574265558393e-14,-0.0040114428346935665
2024-02-04,-4.1746299507922837e-10,-0.04152554498410821,-8.584233546953764e-15,-0.003387095913902959
2024-02-05,-3.541468149515405e-10,-0.048877615374910664,-7.282271734951929e-15,-0.033207171458995384
