CNPJ_Companhia,Nome_Companhia,Codigo_CVM,Data_Referencia,Categoria,Tipo,Especie,Assunto,Data_Entrega,Tipo_Apresentacao,Protocolo_Entrega,Versao,Link_Download
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-02-24,Fato Relevante,,,Contrato de Compra e Venda de Ac¸o~es e Outras Avenc¸as - CURA,2025-02-24,RE - Reapresentação Espontânea,024058IPE240220250204571205-91,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1338395&numSequencia=863121&numVersao=2
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-03-17,Fato Relevante,,,Aquisição e Capitalização de Créditos Lormont Participações S.A,2025-03-17,AP - Apresentação,024058IPE170320250104573313-33,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1347876&numSequencia=872602&numVersao=1
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-04-29,Fato Relevante,,,Alteração na composição do Conselho de Administração e da Diretoria da Companhia,2025-04-29,AP - Apresentação,024058IPE290420250191331636-40,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1367835&numSequencia=892561&numVersao=1
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-07-14,Fato Relevante,,,"Assinatura de Contratos de Compra e Venda, Incorporação e Outras Avenças com o Grupo Meddi",2025-07-14,AP - Apresentação,024058IPE140720250128054281-22,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1400511&numSequencia=925223&numVersao=1
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-07-30,Fato Relevante,,,Créditos Líquidos de Lormont Participações S.A.,2025-07-30,AP - Apresentação,024058IPE300720250158076145-24,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1405693&numSequencia=930405&numVersao=1
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-11-13,Fato Relevante,,,Alteração da Administração,2025-11-13,AP - Apresentação,024058IPE131120250105983666-77,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1445172&numSequencia=969884&numVersao=1
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-12-12,Fato Relevante,,,Aumento de capital para subscrição privada,2025-12-12,AP - Apresentação,024058IPE121220250197735815-43,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1456933&numSequencia=981645&numVersao=1
43.470.988/0001-65,EVEN CONSTRUTORA E INCORPORADORA S/A,20524,2025-05-16,Fato Relevante,,,Programa de recompra de ações,2025-05-16,AP - Apresentação,020524IPE160520250139936780-51,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1379439&numSequencia=904151&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-01-06,Fato Relevante,,,33ª Emissão de Debêntures,2025-01-06,AP - Apresentação,014443IPE060120250104566313-21,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1322403&numSequencia=847129&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-04-09,Fato Relevante,,,Precatórios de São Paulo - Aprovação de acordos,2025-04-09,AP - Apresentação,014443IPE090420250104575612-01,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1359717&numSequencia=884443&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-05-12,Fato Relevante,,,Aprovação do Plano de Recompra de Ações,2025-05-12,AP - Apresentação,014443IPE120520250122265700-94,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1376628&numSequencia=901340&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-05-14,Fato Relevante,,,Informações sobre instituições intermediárias do Plano de Recompra de ações,2025-05-14,AP - Apresentação,014443IPE140520250123271054-21,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1378468&numSequencia=903180&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-05-19,Fato Relevante,,,Instituições intermediárias do Plano de recompra,2025-05-19,AP - Apresentação,014443IPE190520250126094968-49,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1380720&numSequencia=905432&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-06-30,Fato Relevante,,,34ª Emissão de Debêntures,2025-06-30,AP - Apresentação,014443IPE300620250145089468-33,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1395754&numSequencia=920466&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-07-21,Fato Relevante,,,35ª Emissão de Debêntures,2025-07-21,AP - Apresentação,014443IPE210720250112488638-56,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1402623&numSequencia=927335&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-07-22,Fato Relevante,,,Destaques após 1 ano de privatização,2025-07-22,AP - Apresentação,014443IPE220720250150321727-09,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1403016&numSequencia=927728&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-07-24,Fato Relevante,,,Emissão de Blue Bonds,2025-07-24,AP - Apresentação,014443IPE240720250127794007-34,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1403901&numSequencia=928613&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-07-24,Fato Relevante,,,36ª Emissão de Debêntures,2025-07-24,AP - Apresentação,014443IPE240720250188641618-38,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1403928&numSequencia=928640&numVersao=1
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443,2025-08-05,Fato Relevante,,,Celebração um contrato de prestação de serviços de solução turn key de medição inteligente,2025-08-05,AP - Apresentação,014443IPE050820250151346053-34,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1408366&numSequencia=933078&numVersao=1
